source,target,Weight,source type,target type,source color,target color
Adams + Sparkes Town Planning and Development,Adam Seaton,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Adams + Sparkes Town Planning and Development,Cameron Adams,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Adams + Sparkes Town Planning and Development,Michael Lyell,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Adams + Sparkes Town Planning and Development,Peter  Sparkes,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Alistair Nicholas Consulting Pty Ltd,Alistair Nicholas,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Allan King Consultancy,Allan King,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Anacta Strategies Pty Ltd,Jessame Tibbitts,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Anacta Strategies Pty Ltd,Liam O'Regan,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Anacta Strategies Pty Ltd,Victoria Newton,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Anna Grosskreutz Consulting,Anna Grosskreutz,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Antinomies Advisory Ptd Ltd,Gavin Jackman,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Atlas Alliance,Douglas Pye,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Australian Public Affairs,Damian Kelly,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Australian Public Affairs,Elizabeth Kelleher-Cook,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Australian Public Affairs,Juan Paolo Mendoza (Paul) Mills,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Australian Public Affairs,Matthew Doman,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Australian Public Affairs,Nathan Vass,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Australian Public Affairs,Nick Trainor,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Australian Public Affairs,Paula Gelo,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Australian Public Affairs,William Briggs,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Australian Society Of Ophthalmologists (formerly Vanguard Consulting & Services),Katrine Ronne,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Australian Society Of Ophthalmologists (formerly Vanguard Consulting & Services),Kerry Gallagher,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Australian Strategic Advisory,Kevin Parer,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
BB Win Win Outcomes,Brenden Brien,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
BBS Communications Group Pty Ltd,Alexandra Lucey,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
BBS Communications Group Pty Ltd,Allegra Young,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
BBS Communications Group Pty Ltd,Amanda Firth,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
BBS Communications Group Pty Ltd,Barbara Haines,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
BBS Communications Group Pty Ltd,Ehmily Nicholson,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
BBS Communications Group Pty Ltd,Eliza Woods,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
BBS Communications Group Pty Ltd,Gina Calder,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
BBS Communications Group Pty Ltd,Justine Nolan,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
BBS Communications Group Pty Ltd,Lisa Nixon,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
BBS Communications Group Pty Ltd,Louise Cruice,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
BBS Communications Group Pty Ltd,Sara Benallack,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
BBS Communications Group Pty Ltd,Verity Dwan,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Barton Deakin,Andrew Humpherson,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
