Id,node type,node weight,node color,Label
Adams + Sparkes Town Planning and Development,Lobbying Firm,1,#9d94ff,[1] Adams + Sparkes Town Planning and Development - [Lobbying Firm]
Alistair Nicholas Consulting Pty Ltd,Lobbying Firm,1,#9d94ff,[1] Alistair Nicholas Consulting Pty Ltd - [Lobbying Firm]
Allan King Consultancy,Lobbying Firm,1,#9d94ff,[1] Allan King Consultancy - [Lobbying Firm]
Anacta Strategies Pty Ltd,Lobbying Firm,1,#9d94ff,[1] Anacta Strategies Pty Ltd - [Lobbying Firm]
Anna Grosskreutz Consulting,Lobbying Firm,1,#9d94ff,[1] Anna Grosskreutz Consulting - [Lobbying Firm]
Antinomies Advisory Ptd Ltd,Lobbying Firm,1,#9d94ff,[1] Antinomies Advisory Ptd Ltd - [Lobbying Firm]
Atlas Alliance,Lobbying Firm,1,#9d94ff,[1] Atlas Alliance - [Lobbying Firm]
Australian Public Affairs,Lobbying Firm,1,#9d94ff,[1] Australian Public Affairs - [Lobbying Firm]
Australian Society Of Ophthalmologists (formerly Vanguard Consulting & Services),Lobbying Firm,1,#9d94ff,[1] Australian Society Of Ophthalmologists (formerly Vanguard Consulting & Services) - [Lobbying Firm]
Australian Strategic Advisory,Lobbying Firm,1,#9d94ff,[1] Australian Strategic Advisory - [Lobbying Firm]
BB Win Win Outcomes,Lobbying Firm,1,#9d94ff,[1] BB Win Win Outcomes - [Lobbying Firm]
BBS Communications Group Pty Ltd,Lobbying Firm,1,#9d94ff,[1] BBS Communications Group Pty Ltd - [Lobbying Firm]
Barton Deakin,Lobbying Firm,1,#9d94ff,[1] Barton Deakin - [Lobbying Firm]
Bossy Group,Lobbying Firm,1,#9d94ff,[1] Bossy Group - [Lobbying Firm]
CGM Communications Pty Ltd,Lobbying Firm,1,#9d94ff,[1] CGM Communications Pty Ltd - [Lobbying Firm]
CMAX Advisory,Lobbying Firm,1,#9d94ff,[1] CMAX Advisory - [Lobbying Firm]
CPR Communications and Public Relations Pty Ltd (Melbourne),Lobbying Firm,1,#9d94ff,[1] CPR Communications and Public Relations Pty Ltd (Melbourne) - [Lobbying Firm]
CRISIS&COMMS CO,Lobbying Firm,1,#9d94ff,[1] CRISIS&COMMS CO - [Lobbying Firm]
CT Group,Lobbying Firm,1,#9d94ff,[1] CT Group - [Lobbying Firm]
CT Research Strategies Results,Lobbying Firm,1,#9d94ff,[1] CT Research Strategies Results - [Lobbying Firm]
Candra Business Advisers,Lobbying Firm,1,#9d94ff,[1] Candra Business Advisers - [Lobbying Firm]
Cannings Purple,Lobbying Firm,1,#9d94ff,[1] Cannings Purple - [Lobbying Firm]
