Lobbyist Name,Lobbying Firm,ABN,Position
Karly Abbott,The Inner Circle Strategic Advisory,75634265311,Partner
Dominique Brownrigg,Ogilvy PR Agency Pty Limited,89 096 965 794,Account Director
Philip Brown,Morph Consulting Services,36137964446,Consultant
Gina Calder,BBS Communications Group Pty Ltd,34 010 899 779,Account Leader
William Briggs,Australian Public Affairs,20 098 705 403,Consultant
Brenden Brien,BB Win Win Outcomes,91 671 079 056,Director
Sheree Breust,Promedia Public Relations,52 010 453 826,Public Relations Consultant
Riley Campbell,Nexus APAC Pty Ltd,76 615 655 699,Consultant
Duncan Bremner,Primary Communication,36617864347,Senior Counsel
Mark Brandon-Baker,TG Public Affairs,23630677673,Managing Director / Consultant
Leo Zussino,Suncoast Business Consultants Pty Ltd,90304761881,Managing Director
Graham Young,Narration,29010732368,Director
Allegra Young,BBS Communications Group Pty Ltd,34 010 899 779,Account Manager
Louise Yabsley,Watt Advocacy & Communications,16 642 238 702,Director
Nicolaos Xerakias,GRACosway Pty Ltd,50 082 123 822,Consultant
Ashleigh Worthley,GRACosway Pty Ltd,50 082 123 822,Associate
Michael Cairnduff,Cannings Purple,37 108 802 366,Director
Claire Woodwell,CMAX Advisory,73 130 740 546,Government Relations Adviser
Eliza Woods,BBS Communications Group Pty Ltd,34 010 899 779,Consultant
Stephen Woodhill,Woodhill Communication Pty Ltd,62 613 694 189,Director
Jennifer Anne Wood,Commercial Licensing Specialists,33 134 318 595,Owner/Consultant
Alexander Wilson,CMAX Advisory,73 130 740 546,Government Relations Adviser
Jarryd Williamson,CMAX Advisory,73 130 740 546,Government Relations Adviser
Joshua Williams,Diplomacy,17148998645,Director
Clare Wilkes,Taylor Connect,39 632 234 916,Director
Alexander Whittle,Michelson Alexander Pty Ltd,50 660 359 866,Associate
Lewis Whittaker,GRACosway Pty Ltd,50 082 123 822,Associate
Andrew Whitford,CT Group,72600464855,Group Managing Director - Australasia
Peter Wilkinson,Wilkinson Butler,95164204111,Chairman
Simon Westaway,Royce Comm,91 167 042 408,Strategy Director
Stuart Watters,Morph Consulting Services,36137964446,Founder / Managing Director
Alyssa Waters,CMAX Advisory,73 130 740 546,Government Relations Adviser
Nick Campbell,Nexus APAC Pty Ltd,76 615 655 699,CEO
Shannon Walker,FTI Consulting,49 160 397 811,Senior Director
Samuel Walker,Rowland Pty Ltd,59 011 033 364,Advisor
Elizabeth Walker,GRACosway Pty Ltd,50 082 123 822,Associate
Ilana Waldman,PremierNational,71 619 450 841,"Director, Property Planning & Infrastructure"
Tanya Waite,Promedia Public Relations,52 010 453 826,Public Relations Consultant
Vuki Vujasinovic,Sling and Stone,87 145 965 466,CEO
Angela Vithoulkas,Chikarovski & Associates Pty Ltd,92 715 851 492,"Director,  Consulting"
Nathan Vass,Australian Public Affairs,20 098 705 403,Senior Consultant
PETER TURNBULL,Govstrat Pty Ltd,64 964 952 044,CONSULTANT
Kel Watt,Watt Advocacy & Communications,16 642 238 702,Director
Nick Trainor,Australian Public Affairs,20 098 705 403,Director
Ethan Wales,Fifty Acres - The Communications Agency,29 145 634 224,Executive Assistant
Alister Thomson,Promedia Public Relations,52 010 453 826,Senior Account Manager
Brendan Tegg,TG Public Affairs,23630677673,Principal
Ben Taylor,Domestique Consulting Australia,24161338346,Director
Tara Taubenschlag,CMAX Advisory,73 130 740 546,Managing Director
Jessame Tibbitts,Anacta Strategies Pty Ltd,64 633 978 677,Associate
Christian Taubenschlag,CMAX Advisory,73 130 740 546,Managing Partner
Joseph Tannous,Cornerstone Group,9915 3936 719,Executive Director
Anthony Charters,Tony Charters and Associates,73 072 601 560,Director and Executive
Edward Strong,Nexus APAC Pty Ltd,76 615 655 699,Consultant
Frank Topham,Strategic Corporate Affairs Pty Ltd,76 153 203 037,Founder and Director
Matt Stevens,Walsh Stevens,18084661441,Director
Andrew  Stevens,Project Urban Pty Ltd,97 608 895 923,Managing Director
Andrew Butler,Wilkinson Butler,95164204111,Managing Director
Rachel Stanton,Ogilvy PR Agency Pty Limited,89 096 965 794,Consultant
Andrew Stewart,Michelson Alexander Pty Ltd,50 660 359 866,Senior Associate
Jason Staines,CMAX Advisory,73 130 740 546,Government Relations Adviser
Peter Stahel,Essential Media Communications,48 074 671 462,Associate Director
Graham Staerk,Staerk Government and Media,32 844 592 574,Director
John Brenton,TG Public Affairs,23630677673,Principal
Andrew Soter,Open Door Consulting,15131909521,Managing Director
Jamin Smith,SEC Newgate,38162366056,Associate Partner
Darren Sly,Staerk Government and Media,32 844 592 574,Consultant
Michelson Steve,Michelson Alexander Pty Ltd,50 660 359 866,Founder & Director
Fiona Sinclair,Ogilvy PR Agency Pty Limited,89 096 965 794,Senior Associate
Shayne Sutton,SAS Group,33 136 520 548,Associate Director
John Short,John Short,62880904917,Managing Director
Adam Seaton,Adams + Sparkes Town Planning and Development,39 290 334 500,Senior Town Planner
Russell Scoular,Chatto Creek Advisory,34613546142,Chairman
Fiona Scott,PremierNational,71 619 450 841,Executive Director
Hayley Schubert,Sling and Stone,87 145 965 466,Senior Account Director
Sam Schiphorst,London Agency,73145352147,Public Affairs Manager
Russell Steele,RSA Liquor Professionals t/a; Russell Steele & Assoc Pty Ltd,49 016 597 571,Director
Chris Schacht,Chris Schacht,19 927 269 400,Chairman
Joanne Scard,Fifty Acres - The Communications Agency,29 145 634 224,Advisor
Santo Santoro,Santoro Consulting,21 131 482 230,Director
Naomi Sanders,Promedia Public Relations,52 010 453 826,Account Manager
Edward Schiller,Ogilvy PR Agency Pty Limited,89 096 965 794,Coordinator
Rhys Ryan,Porter Novelli Australia Pty Ltd,40079616050,Managing Director
Brendan Rowswell,CPR Communications and Public Relations Pty Ltd (Melbourne),"ABN 94064357544, ACN 064357544",Director
Katrine Ronne,Australian Society Of Ophthalmologists (formerly Vanguard Consulting & Services),29454001424,General Manager
Maiya Saita,CMAX Advisory,73 130 740 546,Government Relations Adviser
Daniel Smith,CGM Communications Pty Ltd,66 619 642 858,Executive Director and Founder
Angus Robinson,Leisure Solutions,61 982 432 138,Managing Partner
Peter  Sparkes,Adams + Sparkes Town Planning and Development,39 290 334 500,Director
Sarah Roberts,FTI Consulting,49 160 397 811,Senior Consultant
Bernard Ripoll,SAS Group,33 136 520 548,Director
Addison Ridge,Nexus APAC Pty Ltd,76 615 655 699,Director
Anthony Rolfe,TONY ROLFE Consulting,98 274 701 278,Principal Consultant
