Client Name,Lobbyist,ABN
1st Group,TG Public Affairs,23630677673
Alcohol and Drug Foundation,Michelson Alexander Pty Ltd,50 660 359 866
Alceon,Social Impact (Qld),13 112 982 323
AIA Australia Limited,Willard Public Affairs Pty Ltd,17 165 851 856
Agripower,Momentum Strategic Communication Services,66 196 172 628
Agrimix Pastures Pty Ltd,TG Public Affairs,23630677673
AGL Energy Limited ,GRACosway Pty Ltd,50 082 123 822
AIRBUS AUSTRALIA PACIFIC LIMITED,CMAX Advisory,73 130 740 546
AH & MM Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Gameloft,CRISIS&COMMS CO,56 637 786 899
Pilbara Iron Company (Services) Pty Ltd,CGM Communications Pty Ltd,66 619 642 858
Salerno Law,Staerk Government and Media,32 844 592 574
V2 FOOD PTY LTD,FPL Advisory,34123819385
Zscaler,Hawker Britton,79 109 681 405
Airbnb,Anacta Strategies Pty Ltd,64 633 978 677
Aged Care Decisions,Next Level Strategic Services,27 613 857 668
Zero Mass Water (Australia) Pty Limited,GRACosway Pty Ltd,50 082 123 822
Zero Industrials,Jutsum Advisory Pty Ltd,68 973 583 422
Yumbah Aquaculture,Porter Novelli Australia Pty Ltd,40079616050
Yumba Meta Housing Association ,Next Level Strategic Services,27 613 857 668
Youth Insearch,WELLS HASLEM MAYHEW STRATEGIC PUBLIC AFFAIRS,52 159 456 685
ZIPMONEY PAYMENTS PTY LTD,Sling and Stone,87 145 965 466
Ying Enterprise Pty Ltd ,Commercial Licensing Specialists,33 134 318 595
Yeronga Services  Club,Jacaranda Advisory,41 673 550 487
Yancoal Australia Limited,Statecraft Pty Ltd,90 116 598 924
Yabbr Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
XREF (AU) PTY LTD,Sling and Stone,87 145 965 466
XERO AUSTRALIA PTY LIMITED,Sling and Stone,87 145 965 466
XCOAL MINING SERVICES PTY LTD,Walsh Stevens,18084661441
Xamplify Group Pty Ltd,PYNE AND PARTNERS,81 634 747 363
WYWM SERVICES PTY LTD,Sling and Stone,87 145 965 466
WPP AUNZ,Hawker Britton,79 109 681 405
Wounds Australia Limited,Watt Advocacy & Communications,16 642 238 702
Aircraft Owners and Pilots Association of Australia,Strategic Political Counsel,24613884763
Wounded Heroes Australia,Kurrajong Strategic Counsel,14 625 954 912
World Surf League Australia,Next Level Strategic Services,27 613 857 668
Woorim Developments Pty Ltd as Trustee for the Woorim Developments Trust,Precise Hospitality Licensing,46220117164
Within Energy Pty Ltd,advico,52658982471
Wing Aviation Pty Ltd,SEC Newgate,38162366056
Windlabsystems,SEC Newgate,38162366056
WINC AUSTRALIA & NEW ZEALAND PTY LTD,Cornerstone Group,9915 3936 719
Young Change Agents,Fifty Acres - The Communications Agency,29 145 634 224
Wik Projects Limited,Candra Business Advisers,26 116 275 382
WHITSUNDAY SPORT PARK INC,Jacaranda Advisory,41 673 550 487
White Wind Project No 1 Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
White Ribbon Australia,Primary Communication,36617864347
WestRex,Social Impact (Qld),13 112 982 323
AJ Hackett,Staerk Government and Media,32 844 592 574
WE Platt,Kurrajong Strategic Counsel,14 625 954 912
Wik Timber Holdings Pty Ltd,Candra Business Advisers,26 116 275 382
WorkHaven Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Wanless Waste Management Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Wambo Cattle Company,PolicyWonks,50 463 070 316
ALDI Stores,GRACosway Pty Ltd,50 082 123 822
W & M Carnall Pty Ltd ,Adams + Sparkes Town Planning and Development,39 290 334 500
Watpac Construction (Qld) Pty Ltd ,Anacta Strategies Pty Ltd,64 633 978 677
Viva Energy Australia,TG Public Affairs,23630677673
Airbnb Australia Pty Limited,GRACosway Pty Ltd,50 082 123 822
Visy Industries Pty Ltd,The Fifth Estate,51 069 838 222
Vitale Projects Pty Ltd,Jutsum Advisory Pty Ltd,68 973 583 422
Wave Parks Australia,Project Urban Pty Ltd,97 608 895 923
Virsec,Capital Integrity,99 649 180 898
Vintage Energy,Conlon Advisory,11 951 391 072
Villawood Properties,Spring Street Advisory,92 603 411 650
Village Fair Investments Pty Ltd aft the Beerwah Marketplace,Anna Grosskreutz Consulting,75 726 352 169
Agersens,LK Creative Pty Ltd,ACN 140  857 432
Viking  River Cruises Australia Pty Ltd,Primary Communication,36617864347
VNP Corporation Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Viatris Pty Ltd,Nexus APAC Pty Ltd,76 615 655 699
Village Road Show,Govstrat Pty Ltd,64 964 952 044
VERTO,Atlas Alliance,606084913
Zoetis Australia Pty Ltd,Willard Public Affairs Pty Ltd,17 165 851 856
Vaxxas,Royce Comm,91 167 042 408
Victorian Trailers Pty Ltd,GRACosway Pty Ltd,50 082 123 822
Vast Solar Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Varley Rafael Australia,Outcomes & Strategies Group,20 018 352 673
Varley Pty Ltd,Outcomes & Strategies Group,20 018 352 673
URBNSURF GROUP Pty Ltd,GRACosway Pty Ltd,50 082 123 822
Urbis Pty Ltd ,Marketplace Communications,23 011 007 293
Urbanity Projects,Jutsum Advisory Pty Ltd,68 973 583 422
Vertex Pharmaceuticals (Australia) Pty Ltd,Willard Public Affairs Pty Ltd,17 165 851 856
Upjohn Australia,Nexus APAC Pty Ltd,76 615 655 699
Virginia United Football Club Inc,Liquor Licensing Consultants,58 679 042 968
Unitywater,Anacta Strategies Pty Ltd,64 633 978 677
United Petroleum,PolicyWonks,50 463 070 316
United Petroleum Pty Ltd,CT Group,72600464855
UGL Pty Limited,TG Public Affairs,23630677673
UFC,CPR Communications and Public Relations Pty Ltd (Melbourne),"ABN 94064357544, ACN 064357544"
Uber,Hawker Britton,79 109 681 405
U.S. Chamber of Commerce,Willard Public Affairs Pty Ltd,17 165 851 856
Vanguard Health,TG Public Affairs,23630677673
Vestas Australia,Spring Street Advisory,92 603 411 650
Tuckeria Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Wesfarmers Limited,DPG Advisory Solutions Pty Ltd,14 634 403 115
Tri-Star,Northstar Public Affairs Pty Ltd,25 638 744 046
Tri-Star Group,PolicyWonks,50 463 070 316
Vicinity Centres PM Pty Ltd,The Civic Group,57 157 925 365
Triple P International Pty Ltd,Primary Communication,36617864347
TWITTER AUSTRALIA HOLDINGS PTY LIMITED,Sling and Stone,87 145 965 466
Tresillian Family Care Centres,Kurrajong Strategic Counsel,14 625 954 912
Transgrid,Northstar Public Affairs Pty Ltd,25 638 744 046
Wabtec,PolicyWonks,50 463 070 316
Trailers Downunder Pty Ltd,GRACosway Pty Ltd,50 082 123 822
Unovino Pty Ltd,Precise Hospitality Licensing,46220117164
Trinity Health Enterprise (HK) Limited,Christmas Jalili,26614088881
TPG Telecom,TG Public Affairs,23630677673
Titan Fibre Networks Pty Ltd,SAS Group,33 136 520 548
Tindo Solar,Wilkinson Butler,95164204111
Tieri Country Club Inc,Liquor Licensing Consultants,58 679 042 968
Ti Tree bioENERGY,Social Impact (Qld),13 112 982 323
Thoroughbred Breeders Australia,Preferment Associates,30432308596
Tursiops Pty Ltd atf P.L Lynch Family Trust,Commercial Licensing Specialists,33 134 318 595
The Walt Disney Company,The Inner Circle Strategic Advisory,75634265311
The University of Notre Dame Australia,TG Public Affairs,23630677673
The University of Adelaide,Jeanes Holland  & Associates,41 059 328 853
the trustee for the Elementsnq unit trust,Empower Pty Ltd,33633821366
TriCare,Promedia Public Relations,52 010 453 826
The Shell Company of Australia Ltd,TG Public Affairs,23630677673
The Royal Australian College of General Practitioners Ltd (RACGP),GRACosway Pty Ltd,50 082 123 822
The Rising Sun Restaurant & Bar,Commercial Licensing Specialists,33 134 318 595
The Platinum Empire Pty Ltd,Commercial Licensing Specialists,33 134 318 595
The Pharmacy Guild of Australia Queensland Branch,Hawker Britton,79 109 681 405
Townsville and District Rugby Union,Empower Pty Ltd,33633821366
The Peer Support Foundation Ltd (ABN 40 002 634 853),Australian Public Affairs,20 098 705 403
The Nature Conservancy,Diplomacy,17148998645
The Monte Family Trust,Jutsum Advisory Pty Ltd,68 973 583 422
The Minderoo Foundation,SEC Newgate,38162366056
The Millmerran Rail Group,PolicyWonks,50 463 070 316
The McKinnon Institute for Political Leadership,Barton Deakin,65 140 067 287
The Linden Group Pty Ltd,GR Solutions,28 125 233 543
TOMRA Group,Cornerstone Group,9915 3936 719
The Jungle Village Pty Ltd,Commercial Licensing Specialists,33 134 318 595
The Jetty Specialists,Project Urban Pty Ltd,97 608 895 923
The Hi Fi Brisbane Pty Ltd,Commercial Licensing Specialists,33 134 318 595
The Escape Group Pty Ltd,Commercial Licensing Specialists,33 134 318 595
The Don Moffatt Family Trust,Hawker Britton,79 109 681 405
The Digital Filing Company Pty Ltd,Santoro Consulting,21 131 482 230
URANNAH WATER SCHEME PTY LTD,Anacta Strategies Pty Ltd,64 633 978 677
The National Council of the Young Men's Christian Associations of Australia,GRACosway Pty Ltd,50 082 123 822
The Butterfly Foundation,Primary Communication,36617864347
The Kids Cancer Project,Kurrajong Strategic Counsel,14 625 954 912
The Better Health Generation Australia & UK,BB Win Win Outcomes,91 671 079 056
The Australian Energy Foundation,PremierNational,71 619 450 841
Tewantin Noosa RSL,DWS Hospitality Specialists,50 113 985 247
TITOMIC LIMITED,PYNE AND PARTNERS,81 634 747 363
Tetra Pak,FTI Consulting,49 160 397 811
test,Test by QIC 4,111111111
The Crane Industry Council of Australia,Hawker Britton,79 109 681 405
Tellus Holdings,Fitzpatrick Advisory,24 524 372 289
TechnologyOne,Santoro Consulting,21 131 482 230
TeamKids,GRACosway Pty Ltd,50 082 123 822
TCC OPERATIONS PTY LTD,Liquor Licensing Consultants,58 679 042 968
TheirCare Pty Ltd,GRACosway Pty Ltd,50 082 123 822
Trustgrid Pty Ltd,PremierNational,71 619 450 841
TAMAYA PTY LTD,Cornerstone Group,9915 3936 719
The Club Hotel 1938 Pty Ltd,Liquor Licensing Consultants,58 679 042 968
Tabcorp Holdings,Govstrat Pty Ltd,64 964 952 044
SYPAQ SYSTEMS PTY LTD,CMAX Advisory,73 130 740 546
SynBio,Social Impact (Qld),13 112 982 323
Texthelp Pty Ltd,Sling and Stone,87 145 965 466
Swyftx,DPG Advisory Solutions Pty Ltd,14 634 403 115
