Lobbyist Name,Lobbying Firm,ABN,Position
Stefan Anjou,FPL Advisory,34123819385,Policy Analyst
Sophie Allen,GRACosway Pty Ltd,50 082 123 822,Associate
Aisling Acton,Michelson Alexander Pty Ltd,50 660 359 866,Senior Associate
Elaine Abery,Unravelling Red Tape Pty Ltd,69 626 524 178,Director
Mark Abernethy,Wilkinson Butler,95164204111,Communications Consultant
Madeleine Abbott,GRACosway Pty Ltd,50 082 123 822,Associate
Karly Abbott,The Inner Circle Strategic Advisory,75634265311,Partner
Susanne  Christensen ,Liquor Licensing Consultants,58 679 042 968,Manager
Michael Choueifate,TG Public Affairs,23630677673,Principal / Consultant
Ashleigh Worthley,GRACosway Pty Ltd,50 082 123 822,Associate
Leo Zussino,Suncoast Business Consultants Pty Ltd,90304761881,Managing Director
Richard Amos,Royce Comm,91 167 042 408,Managing Director
Graham Young,Narration,29010732368,Director
Allegra Young,BBS Communications Group Pty Ltd,34 010 899 779,Account Manager
Nicolaos Xerakias,GRACosway Pty Ltd,50 082 123 822,Consultant
Claire Woodwell,CMAX Advisory,73 130 740 546,Government Relations Adviser
Eliza Woods,BBS Communications Group Pty Ltd,34 010 899 779,Consultant
Cameron Adams,Adams + Sparkes Town Planning and Development,39 290 334 500,Managing Director
Jennifer Anne Wood,Commercial Licensing Specialists,33 134 318 595,Owner/Consultant
Alexander Wilson,CMAX Advisory,73 130 740 546,Government Relations Adviser
Jarryd Williamson,CMAX Advisory,73 130 740 546,Government Relations Adviser
Joshua Williams,Diplomacy,17148998645,Director
Jason Aldworth,The Civic Partnership,71652574171,Managing Partner
Clare Wilkes,Taylor Connect,39 632 234 916,Director
Louise Yabsley,Watt Advocacy & Communications,16 642 238 702,Director
Lewis Whittaker,GRACosway Pty Ltd,50 082 123 822,Associate
Simon Westaway,Royce Comm,91 167 042 408,Strategy Director
Stuart Watters,Morph Consulting Services,36137964446,Founder / Managing Director
Kel Watt,Watt Advocacy & Communications,16 642 238 702,Director
Alyssa Waters,CMAX Advisory,73 130 740 546,Government Relations Adviser
Shannon Walker,FTI Consulting,49 160 397 811,Senior Director
Samuel Walker,Rowland Pty Ltd,59 011 033 364,Advisor
Elizabeth Walker,GRACosway Pty Ltd,50 082 123 822,Associate
Ethan Wales,Fifty Acres - The Communications Agency,29 145 634 224,Executive Assistant
Ilana Waldman,PremierNational,71 619 450 841,"Director, Property Planning & Infrastructure"
Kirby Anderson,PolicyWonks,50 463 070 316,Director
Vuki Vujasinovic,Sling and Stone,87 145 965 466,CEO
Angela Vithoulkas,Chikarovski & Associates Pty Ltd,92 715 851 492,"Director,  Consulting"
Nathan Vass,Australian Public Affairs,20 098 705 403,Senior Consultant
PETER TURNBULL,Govstrat Pty Ltd,64 964 952 044,CONSULTANT
Isabel Anderson,Ogilvy PR Agency Pty Limited,89 096 965 794,PR Consultant
Nick Trainor,Australian Public Affairs,20 098 705 403,Director
Stephen Woodhill,Woodhill Communication Pty Ltd,62 613 694 189,Director
Alister Thomson,Promedia Public Relations,52 010 453 826,Senior Account Manager
Brendan Tegg,TG Public Affairs,23630677673,Principal
Ben Taylor,Domestique Consulting Australia,24161338346,Director
Tara Taubenschlag,CMAX Advisory,73 130 740 546,Managing Director
Antony Anisse,PremierNational,71 619 450 841,Special Counsel
Christian Taubenschlag,CMAX Advisory,73 130 740 546,Managing Partner
Alexander Whittle,Michelson Alexander Pty Ltd,50 660 359 866,Associate
Jessame Tibbitts,Anacta Strategies Pty Ltd,64 633 978 677,Associate
Edward Strong,Nexus APAC Pty Ltd,76 615 655 699,Consultant
Andrew Stewart,Michelson Alexander Pty Ltd,50 660 359 866,Senior Associate
Andrew  Stevens,Project Urban Pty Ltd,97 608 895 923,Managing Director
Nick Albrow,Wilkinson Butler,95164204111,Director
Russell Steele,RSA Liquor Professionals t/a; Russell Steele & Assoc Pty Ltd,49 016 597 571,Director
Rachel Stanton,Ogilvy PR Agency Pty Limited,89 096 965 794,Consultant
Shayne Sutton,SAS Group,33 136 520 548,Associate Director
Peter Stahel,Essential Media Communications,48 074 671 462,Associate Director
Matt Stevens,Walsh Stevens,18084661441,Director
Peter  Sparkes,Adams + Sparkes Town Planning and Development,39 290 334 500,Director
Frank Topham,Strategic Corporate Affairs Pty Ltd,76 153 203 037,Founder and Director
Andrew Soter,Open Door Consulting,15131909521,Managing Director
Jason Staines,CMAX Advisory,73 130 740 546,Government Relations Adviser
Daniel Smith,CGM Communications Pty Ltd,66 619 642 858,Executive Director and Founder
Graham Staerk,Staerk Government and Media,32 844 592 574,Director
John Short,John Short,62880904917,Managing Director
Adam Seaton,Adams + Sparkes Town Planning and Development,39 290 334 500,Senior Town Planner
Jamin Smith,SEC Newgate,38162366056,Associate Partner
Jeremy Scott,Promedia Public Relations,52 010 453 826,Managing Director
